time,temperature
0.0012178421020507812,167.0
0.30919313430786133,167.0
0.6151742935180664,167.0
0.9232354164123535,166.0
1.2280049324035645,167.0
1.5560235977172852,169.0
1.8612470626831055,169.0
2.1638660430908203,167.0
2.4676671028137207,166.0
2.770414113998413,170.0
3.1169674396514893,172.0
3.4341819286346436,174.0
3.73742413520813,176.0
4.044821739196777,178.0
4.349741458892822,176.0
4.659103155136108,176.0
4.9639458656311035,174.0
5.26798152923584,178.0
5.602951288223267,178.0
5.949643850326538,181.0
6.265869140625,183.0
