time,temperature
132.17449736595154,582.0
132.51032257080078,581.0
132.80470848083496,583.0
133.13595008850098,586.0
133.44496893882751,588.0
133.77120542526245,592.0
134.11987900733948,593.0
134.46073722839355,597.0
134.76382064819336,599.0
135.0811264514923,599.0
135.41437768936157,599.0
135.72119736671448,598.0
136.04174947738647,599.0
136.37666511535645,599.0
136.68341875076294,600.0
137.002925157547,602.0
137.31876802444458,603.0
137.6568627357483,604.0
138.00757908821106,605.0
