time,temperature
80.9770233631134,0.0
81.26410865783691,3.0
81.57826924324036,5.0
81.89727520942688,3.0
82.20444822311401,3.0
82.50249028205872,5.0
82.79308772087097,8.0
83.10241532325745,7.0
83.42339944839478,11.0
83.70907998085022,13.0
84.01736116409302,12.0
84.31382346153259,10.0
84.61282420158386,11.0
84.93316698074341,10.0
85.27117109298706,12.0
85.58685207366943,14.0
85.92180609703064,13.0
86.20798635482788,16.0
86.53312659263611,14.0
86.84223556518555,12.0
87.18042492866516,12.0
87.51872873306274,16.0
87.80447149276733,14.0
88.09064745903015,18.0
88.37852263450623,21.0
88.69728207588196,22.0
89.089346408844,21.0
89.39911818504333,25.0
89.70706605911255,27.0
90.04340505599976,27.0
90.36069965362549,28.0
90.68583250045776,29.0
91.00339794158936,28.0
91.33863687515259,26.0
91.67659425735474,26.0
92.01523733139038,29.0
92.37034273147583,31.0
92.69321346282959,35.0
93.0347728729248,35.0
93.3691475391388,34.0
93.7127480506897,37.0
94.05306243896484,40.0
94.39808917045593,41.0
94.73522114753723,42.0
95.09453558921814,44.0
95.40616083145142,43.0
95.76748180389404,43.0
96.09672689437866,47.0
96.43979501724243,51.0
96.74869585037231,54.0
97.05810332298279,57.0
97.39759993553162,56.0
97.70722389221191,56.0
98.07241773605347,54.0
98.47920036315918,54.0
98.8339593410492,52.0
99.18793201446533,52.0
99.55113410949707,55.0
99.91099810600281,54.0
100.26721262931824,56.0
100.65375781059265,55.0
101.01600670814514,57.0
101.41733717918396,58.0
